movies name,relased date
Fall,"Aug 11, 2022"
Beast,"Aug 11, 2022"
Dragon Ball Super: Super Hero,"Jun 11, 2022"
RRR,"Mar 24, 2022"
Pinocchio,"Sep 07, 2022"
Thor: Love and Thunder,"Jul 06, 2022"
Samaritan,"Aug 25, 2022"
Fullmetal Alchemist: The Revenge of Scar,"May 20, 2022"
Prey,"Aug 02, 2022"
Wire Room,"Sep 02, 2022"
Seoul Vibe,"Aug 26, 2022"
DC League of Super-Pets,"Jul 27, 2022"
Jurassic World Dominion,"Jun 01, 2022"
Top Gun: Maverick,"May 24, 2022"
Minions: The Rise of Gru,"Jun 29, 2022"
Jujutsu Kaisen 0,"Dec 24, 2021"
"Watch Out, We're Mad","Mar 23, 2022"
Hunting Ava Bravo,"Apr 01, 2022"
Sniper: Rogue Mission,"Aug 15, 2022"
Nope,"Jul 20, 2022"
Black Site,"May 05, 2022"
The Black Phone,"Jun 22, 2022"
Your Boyfriend Is Mine,"Mar 19, 2022"
Office Invasion,"Aug 10, 2022"
Looks Can Kill,"Feb 01, 2022"
Day Shift,"Aug 10, 2022"
Doctor Strange in the Multiverse of Madness,"May 04, 2022"
Luck,"Aug 05, 2022"
Spider-Man: No Way Home,"Dec 15, 2021"
My Sweet Monster,"Jan 27, 2022"
After Ever Happy,"Aug 24, 2022"
Sonic the Hedgehog 2,"Mar 30, 2022"
The Ledge,"Feb 18, 2022"
Groot's First Steps,"Aug 10, 2022"
The princess,"Aug 05, 2022"
Code Name: Emperor,"Mar 18, 2022"
Lightyear,"Jun 15, 2022"
I Came By,"Aug 19, 2022"
Where the Crawdads Sing,"Jul 15, 2022"
Orphan: First Kill,"Jul 27, 2022"
Groot Takes a Bath,"Aug 10, 2022"
Dragon Knight,"Mar 21, 2022"
The Next 365 Days,"Aug 19, 2022"
The Batman,"Mar 01, 2022"
Me Time,"Aug 26, 2022"
The Lost City,"Mar 24, 2022"
Friend Couples: Swapping,"Feb 14, 2017"
Magnum Opus,"Jul 18, 2022"
X,"Mar 17, 2022"
Avatar,"Dec 10, 2009"
Fantastic Beasts: The Secrets of Dumbledore,"Apr 06, 2022"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Oct 16, 2020"
Sinister Stepsister,"Mar 11, 2022"
The Northman,"Apr 07, 2022"
The Aviary,"Apr 29, 2022"
The Exorcism of God,"Mar 11, 2022"
Beauty Salon: Special Service 3,"Apr 29, 2019"
The Little Guy,"Aug 10, 2022"
Taste 2,"Sep 02, 2015"
The Cellar,"Mar 25, 2022"
Legend Quest: The Origin,"Feb 15, 2021"
Turning Red,"Mar 10, 2022"
Encanto,"Nov 24, 2021"
Into the Deep,"Aug 26, 2022"
Last Seen Alive,"May 19, 2022"
Morbius,"Mar 30, 2022"
Notre-Dame on Fire,"Mar 16, 2022"
Adanis: Kutsal Kavga,"Mar 11, 2022"
Memory,"Apr 28, 2022"
The Girl from the Other Side,"Mar 10, 2022"
The Gray Man,"Jul 13, 2022"
Dog,"Feb 17, 2022"
Catch the Fair One,"Feb 11, 2022"
Bullet Train,"Jul 03, 2022"
Nice Sister-In-Law 2,"Nov 06, 2017"
My Hero Academia: World Heroes' Mission,"Aug 06, 2021"
Uncharted,"Feb 10, 2022"
Groot's Pursuit,"Aug 10, 2022"
Beneath the Surface,"Apr 01, 2022"
The Princess,"Jun 16, 2022"
The Jack in the Box: Awakening,"Feb 24, 2022"
Hotel Transylvania: Transformania,"Feb 25, 2022"
Shut In,"Mar 24, 2022"
Venom: Let There Be Carnage,"Sep 30, 2021"
Moonfall,"Feb 03, 2022"
The Seven Deadly Sins: Cursed by Light,"Jul 02, 2021"
Beautiful Minds,"Jan 19, 2022"
